Period 10 	 [137, 116, 118] 0.13 days. [1] R: 0
Period 10 	 [140, 116, 117] 0.11 days. [1] R: 0
Period 10 	 [149, 116, 117] 0.11 days. [1] R: 0
Period 10 	 [149, 116, 124] 0.12 days. [1] R: 0
Period 10 	 [151, 116, 118] 0.13 days. [1] R: 0
Period 10 	 [151, 116, 119] 0.12 days. [1] R: 0
Period 10 	 [152, 116, 118] 0.13 days. [1] R: 0
Period 10 	 [153, 116, 118] 0.13 days. [1] R: 0
Period 10 	 [154, 116, 118] 0.17 days. [3] R: 0
Period 10 	 [155, 116, 119] 0.13 days. [3] R: 0
Period 10 	 [156, 116, 117] 0.15 days. [1] R: 0
Period 10 	 [156, 116, 118] 0.17 days. [3] R: 0
Period 11 	 [139, 116, 119] 0.12 days. [2] R: 0
Period 11 	 [142, 116, 124] 0.12 days. [1] R: 0
Period 11 	 [143, 116, 119] 0.13 days. [1] R: 0
Period 11 	 [144, 116, 124] 0.12 days. [1] R: 0
Period 11 	 [146, 116, 117] 0.11 days. [1] R: 0
Period 11 	 [147, 116, 117] 0.12 days. [1] R: 0
Period 11 	 [149, 116, 117] 0.11 days. [1] R: 0
Period 11 	 [152, 116, 117] 0.11 days. [1] R: 0
Period 11 	 [156, 116, 117] 0.15 days. [1] R: 0
Period 12 	 [137, 116, 118] 0.13 days. [1] R: 0
Period 12 	 [140, 116, 106] 0.17 days. [0] R: 0
Period 12 	 [140, 116, 118] 0.13 days. [1] R: 0
Period 12 	 [141, 116, 124] 0.12 days. [0] R: 0
Period 12 	 [150, 116, 118] 0.13 days. [0] R: 0
Period 12 	 [156, 116, 119] 0.16 days. [1] R: 0
Period 12 	 [156, 116, 126] 0.18 days. [1] R: 0
	 Repartido Periodo 10: 18.000000
	 Repartido Periodo 11: 10.000000
	 Repartido Periodo 12: 7.000000
	 Repartido Periodo 13: 0.000000
Scenario 0
	 Demandas Periodo 10: 496.000000 [0]
	 Demandas Periodo 11: 596.000000 [0]
	 Demandas Periodo 12: 680.000000 [0]
	 Demandas Periodo 13: 768.000000 [0]
Scenario 1
	 Demandas Periodo 10: 656.000000 [0]
	 Demandas Periodo 11: 774.000000 [0]
	 Demandas Periodo 12: 883.000000 [0]
	 Demandas Periodo 13: 999.000000 [0]
Scenario 2
	 Demandas Periodo 10: 403.000000 [0]
	 Demandas Periodo 11: 476.000000 [0]
	 Demandas Periodo 12: 540.000000 [0]
	 Demandas Periodo 13: 606.000000 [0]
ObjVal: 14.000000 Time: 32.960174 GAP: 0.000000
